iter	Passed	Remaining
0	150	44984
1	216	32237
2	230	22797
3	244	18081
4	279	16506
5	350	17193
6	365	15286
7	391	14281
8	412	13342
9	422	12242
10	443	11642
11	455	10924
12	480	10615
13	490	10017
14	505	9602
15	547	9726
16	563	9388
17	578	9056
18	638	9437
19	677	9487
20	751	9987
21	823	10401
22	851	10250
23	867	9975
24	910	10015
25	946	9973
26	955	9664
27	970	9428
28	990	9257
29	1000	9001
30	1008	8751
31	1023	8573
32	1034	8367
33	1046	8190
34	1070	8103
35	1082	7935
36	1091	7761
37	1101	7596
38	1122	7511
39	1130	7350
40	1141	7211
41	1149	7064
42	1163	6952
43	1174	6834
44	1184	6710
45	1194	6596
46	1203	6478
47	1212	6363
48	1223	6266
49	1232	6164
50	1243	6069
51	1250	5962
52	1257	5862
53	1264	5762
54	1274	5679
55	1283	5592
56	1292	5508
57	1301	5430
58	1310	5353
59	1317	5269
60	1325	5194
61	1338	5139
62	1352	5089
63	1365	5033
64	1376	4976
65	1390	4930
66	1409	4900
67	1421	4849
68	1432	4796
69	1447	4756
70	1456	4697
71	1465	4640
72	1476	4590
73	1487	4543
74	1507	4522
75	1520	4481
76	1530	4433
77	1543	4393
78	1557	4355
79	1566	4306
80	1576	4262
81	1582	4206
82	1590	4158
83	1596	4106
84	1606	4063
85	1613	4015
86	1618	3962
87	1624	3913
88	1630	3864
89	1634	3814
90	1639	3765
91	1644	3717
92	1649	3670
93	1655	3627
94	1660	3582
95	1665	3538
96	1671	3497
97	1676	3455
98	1681	3413
99	1686	3373
100	1693	3335
101	1699	3298
102	1703	3259
103	1709	3221
104	1714	3184
105	1719	3147
106	1725	3112
107	1730	3076
108	1735	3041
109	1740	3007
110	1746	2973
111	1751	2940
112	1756	2906
113	1761	2873
114	1766	2841
115	1770	2809
116	1776	2778
117	1781	2748
118	1787	2718
119	1793	2690
120	1798	2660
121	1802	2629
122	1809	2603
123	1816	2578
124	1823	2553
125	1830	2528
126	1835	2500
127	1841	2474
128	1846	2447
129	1851	2420
130	1855	2394
131	1862	2370
132	1869	2346
133	1874	2322
134	1880	2298
135	1885	2274
136	1891	2250
137	1896	2226
138	1901	2202
139	1907	2179
140	1912	2156
141	1917	2133
142	1922	2110
143	1925	2086
144	1930	2064
145	1934	2040
146	1940	2019
147	1944	1997
148	1949	1975
149	1954	1954
150	1958	1932
151	1963	1911
152	1967	1890
153	1972	1870
154	1977	1850
155	1982	1830
156	1988	1810
157	1994	1792
158	1999	1772
159	2004	1753
160	2009	1734
161	2013	1715
162	2018	1696
163	2023	1678
164	2028	1659
165	2032	1640
166	2037	1623
167	204170	203168	204171	203169	205172	204170	205173	204171	205174	205172	206175	205173	206176	206174	207177	206175	207178	207176	208179	207177	208180	208178	209181	208179	209182	209180	209183	209181	210184	210182	210185	210183	211186	210184	211187	211185	2125	1302
186	2130	1287
187	2135	1272
188	2141	1257
189	2146	1242
190	2152	1228
191	2157	1213
192	2162	1198
193	2168	1184
194	2174	1170
195	2180	1157
196	2185	1142
197	2191	1128
198	2196	1114
199	2202	1101
200	2207	1087
201	2211	1072
202	2217	1059
203	2221	1045
204	2225	1031
205	2229	1017
206	2235	1004
207	2239	990
208	2243	977
209	2248	963
210	2252	950
211	2256	936
212	2260	923
213	2264	909
214	2268	896
215	2272	883
216	2276	870
217	2281	858
218	2286	845
219	2290	832
220	2294	820
221	2299	807
222	2303	795
223	2307	782
224	2312	770
225	2316	758
226	2321	746
227	2326	734
228	2331	722
229	2336	711
230	23231	234231	23232	234232	23233	235233	2357	665
234	2362	653
235	23236	236236	23237	237237	23238	237238	23239	238239	23240	238240	23241	239241	23242	2403	563
243	2408	552
244	2414	541
245	2419	531
246	2424	5249247	2430	509
248	2437	499
249	2442	488
250	2453	478
251	2458	468
252	2463	457
253	2468	446
254	2472	436
255	2477	425
256	2482	415
257	2488	405
258	2494	394
259	2499	384
260	2504	374
261	2510	364
262	2515	353
263	2521	343
264	2530	334
265	2534	323
266	2539	313
267	2544	303
268	2548	293
269	2553	283
270	2557	273
271	2563	263
272	2568	254
273	2574	244
274	2579	234
275	2584	224
276	2590	215
277	2595	205
278	2601	195
279	2605	186
280	2610	176
281	2614	166
282	2619	157
283	2624	147
284	2629	138
285	2634	128
286	2638	119
287	2643	110
288	2647	100
289	2652	91
290	2657	82
291	2662	72
292	2665	63
293	2670	54
294	2673	45
295	2678	36
296	2681	27
297	2684	18
298	2687	8
299	2690	0
2669	0
