price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Processor_Brand,Processor_Series,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_name,os_version,brand,NFC_encoded,memory_card_support_encoded,5G_encoded,os_version_major,os_version_minor,os_version_patch,RAM Tier_encoded
expensive,85.0,yes,yes,yes,no,yes,no,snapdragon,870.0,8.0,3.2,flagship,12.0,256.0,flagship,4400.0,66,6.62,1080.0,2400.0,120.0,punch hole,48.0,3.0,16.0,1.0,yes,1024.0,android,12,iqoo,1,1,1,12,0,0,4.0
non-expensive,88.0,yes,yes,yes,no,yes,no,snapdragon,865.0,8.0,2.84,flagship,8.0,128.0,high-end,4500.0,0,6.5,1080.0,2400.0,120.0,punch hole,12.0,3.0,32.0,1.0,yes,1024.0,android,10,samsung,1,1,1,10,0,0,3.0
non-expensive,75.0,yes,yes,yes,no,no,no,snapdragon,4.0,8.0,2.4,unknown,4.0,64.0,mid-range,5000.0,18,6.58,1080.0,2408.0,120.0,water drop notch,50.0,2.0,8.0,1.0,yes,1024.0,android,12,iqoo,0,1,1,12,0,0,2.0
non-expensive,74.0,yes,yes,no,no,no,yes,helio,99.0,8.0,2.2,mid-range,4.0,64.0,mid-range,5000.0,18,6.58,1080.0,2400.0,90.0,water drop notch,50.0,3.0,8.0,1.0,yes,512.0,android,12,poco,0,1,0,12,0,0,2.0
non-expensive,80.0,yes,yes,no,no,no,no,snapdragon,680.0,8.0,2.4,mid-range,8.0,128.0,high-end,5000.0,44,6.58,1080.0,2408.0,90.0,water drop notch,50.0,3.0,16.0,1.0,yes,1024.0,android,12,vivo,0,1,0,12,0,0,3.0
non-expensive,84.0,yes,yes,yes,no,yes,yes,dimensity,2122.5,8.0,2.85,unknown,8.0,128.0,high-end,5080.0,67,6.6,1080.0,2460.0,144.0,punch hole,64.0,3.0,16.0,1.0,no,1024.0,android,12,poco,1,0,1,12,0,0,3.0
non-expensive,84.0,yes,yes,yes,no,no,yes,snapdragon,695.0,8.0,2.2,mid-range,8.0,128.0,high-end,5000.0,67,6.67,1080.0,2400.0,120.0,punch hole,64.0,3.0,16.0,1.0,yes,1024.0,android,11,poco,0,1,1,11,0,0,3.0
non-expensive,78.0,yes,yes,yes,no,no,no,dimensity,930.0,8.0,2.2,unknown,6.0,128.0,mid-range,4200.0,66,6.4,1080.0,2400.0,90.0,punch hole,50.0,3.0,16.0,1.0,no,1024.0,android,12,realme,0,0,1,12,0,0,2.0
non-expensive,80.0,yes,yes,yes,no,yes,no,snapdragon,695.0,8.0,2.2,mid-range,6.0,128.0,mid-range,5000.0,33,6.4,1080.0,2400.0,60.0,punch hole,50.0,3.0,16.0,1.0,no,1024.0,android,11,motorola,1,0,1,11,0,0,2.0
non-expensive,82.0,yes,yes,no,no,no,no,snapdragon,665.0,8.0,2.4,unknown,8.0,128.0,high-end,4500.0,18,6.38,1080.0,2340.0,60.0,water drop notch,48.0,1.0,32.0,1.0,yes,256.0,android,9.0,vivo,0,1,0,9,0,0,3.0
